date,hamilton,average
7/19/2015,1289444.09,652079.9
7/26/2015,2592974.19,1304159.8
8/2/2015,4085151.21,1956239.7
8/9/2015,5341460.09,2608319.6
8/16/2015,6802106.35,3260399.5
8/23/2015,8260189.27,3912479.4
8/30/2015,9810531.34,4564559.3
9/6/2015,11510681.16,5216639.2
9/13/2015,13075155.21,5868719.1
9/20/2015,14623305.69,6520799
9/27/2015,16193601.28,7172878.9
10/4/2015,17674592.75,7824958.8
10/11/2015,19352479.22,8477038.7
10/18/2015,20831175.97,9129118.6
10/25/2015,22320227.46,9781198.5
11/1/2015,23912759.49,10433278.4
11/8/2015,25682171.52,11085358.3
11/15/2015,27275923.59,11737438.2
11/22/2015,28724360.98,12389518.1
11/29/2015,30555307.21,13041598
12/6/2015,32168177.9,13693677.9
12/13/2015,33806978.41,14345757.8
12/20/2015,35464733.28,14997837.7
12/27/2015,37308632.47,15649917.6
1/3/2016,39266878.29,16301997.5
1/10/2016,40978325.09,16954077.4
1/17/2016,42746295.47,17606157.3
1/24/2016,44050063.71,18258237.2
1/31/2016,45781355.91,18910317.1
2/7/2016,47554028.98,19562397
2/14/2016,49347733.88,20214476.9
2/21/2016,51100226.89,20866556.8
2/28/2016,52856809.56,21518636.7
3/6/2016,54623032.56,22170716.6
3/13/2016,56381587.56,22822796.5
3/20/2016,58121691.56,23474876.4
3/27/2016,59841261.56,24126956.3
4/3/2016,61663855.56,24779036.2
4/10/2016,63477510.56,25431116.1
4/17/2016,65156130.56,26083196